machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
i9-9980HK,x86_64,fastlanes,7,branchfree,0.00100,0,67108864,58720256,12126000.0,4.843,5.534,0.00,14.31,17.58,0.3385,67109,67109
i9-9980HK,x86_64,bitpack-scalar,7,branchy,0.00010,0,67108864,58720256,241199000.0,0.243,0.278,0.00,14.31,17.58,0.0170,6711,6711
i9-9980HK,x86_64,bitpack-scalar,7,branchfree,0.00010,0,67108864,58720256,242389000.0,0.242,0.277,0.00,14.31,17.58,0.0169,6711,6711
i9-9980HK,x86_64,fastlanes,7,branchy,0.00010,0,67108864,58720256,19398000.0,3.027,3.460,0.00,14.31,17.58,0.2116,6711,6711
i9-9980HK,x86_64,fastlanes,7,branchfree,0.00010,0,67108864,58720256,12011000.0,4.889,5.587,0.00,14.31,17.58,0.3418,6711,6711
i9-9980HK,x86_64,bitpack-scalar,8,branchy,1.00000,0,67108864,67108864,9515000.0,7.053,7.053,0.00,14.31,17.58,0.4930,67108864,67108864
i9-9980HK,x86_64,bitpack-scalar,8,branchfree,1.00000,0,67108864,67108864,8295000.0,8.090,8.090,0.00,14.31,17.58,0.5655,67108864,67108864
i9-9980HK,x86_64,fastlanes,8,branchy,1.00000,0,67108864,67108864,18506000.0,3.626,3.626,0.00,14.31,17.58,0.2535,67108864,67108864
i9-9980HK,x86_64,fastlanes,8,branchfree,1.00000,0,67108864,67108864,11636000.0,5.767,5.767,0.00,14.31,17.58,0.4032,67108864,67108864
i9-9980HK,x86_64,bitpack-scalar,8,branchy,0.50000,0,67108864,67108864,9564000.0,7.017,7.017,0.00,14.31,17.58,0.4905,33554432,33554432
i9-9980HK,x86_64,bitpack-scalar,8,branchfree,0.50000,0,67108864,67108864,8265000.0,8.120,8.120,0.00,14.31,17.58,0.5676,33554432,33554432
i9-9980HK,x86_64,fastlanes,8,branchy,0.50000,0,67108864,67108864,18478000.0,3.632,3.632,0.00,14.31,17.58,0.2539,33554432,33554432
i9-9980HK,x86_64,fastlanes,8,branchfree,0.50000,0,67108864,67108864,11782000.0,5.696,5.696,0.00,14.31,17.58,0.3982,33554432,33554432
