machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,fastlanes,9,branchy,0.50000,0,67108864,75497472,12588000.0,5.998,5.331,0.00,70.15,93.79,0.0855,33554432,33554432
M4,arm64,fastlanes,9,branchfree,0.50000,0,67108864,75497472,8076000.0,9.348,8.310,0.00,70.15,93.79,0.1333,33554432,33554432
M4,arm64,bitpack-scalar,9,branchy,0.10000,0,67108864,75497472,32775000.0,2.304,2.048,0.00,70.15,93.79,0.0328,6710886,6710886
M4,arm64,bitpack-scalar,9,branchfree,0.10000,0,67108864,75497472,33277000.0,2.269,2.017,0.00,70.15,93.79,0.0323,6710886,6710886
M4,arm64,fastlanes,9,branchy,0.10000,0,67108864,75497472,12596000.0,5.994,5.328,0.00,70.15,93.79,0.0854,6710886,6710886
M4,arm64,fastlanes,9,branchfree,0.10000,0,67108864,75497472,8075000.0,9.350,8.311,0.00,70.15,93.79,0.1333,6710886,6710886
M4,arm64,bitpack-scalar,9,branchy,0.01000,0,67108864,75497472,32913000.0,2.294,2.039,0.00,70.15,93.79,0.0327,671089,671089
M4,arm64,bitpack-scalar,9,branchfree,0.01000,0,67108864,75497472,33207000.0,2.274,2.021,0.00,70.15,93.79,0.0324,671089,671089
M4,arm64,fastlanes,9,branchy,0.01000,0,67108864,75497472,12568000.0,6.007,5.340,0.00,70.15,93.79,0.0856,671089,671089
M4,arm64,fastlanes,9,branchfree,0.01000,0,67108864,75497472,8046000.0,9.383,8.341,0.00,70.15,93.79,0.1338,671089,671089
M4,arm64,bitpack-scalar,9,branchy,0.00100,0,67108864,75497472,33191000.0,2.275,2.022,0.00,70.15,93.79,0.0324,67109,67109
M4,arm64,bitpack-scalar,9,branchfree,0.00100,0,67108864,75497472,33293000.0,2.268,2.016,0.00,70.15,93.79,0.0323,67109,67109
M4,arm64,fastlanes,9,branchy,0.00100,0,67108864,75497472,12564000.0,6.009,5.341,0.00,70.15,93.79,0.0857,67109,67109
M4,arm64,fastlanes,9,branchfree,0.00100,0,67108864,75497472,8069000.0,9.356,8.317,0.00,70.15,93.79,0.1334,67109,67109
M4,arm64,bitpack-scalar,9,branchy,0.00010,0,67108864,75497472,32162000.0,2.347,2.087,0.00,70.15,93.79,0.0335,6711,6711
M4,arm64,bitpack-scalar,9,branchfree,0.00010,0,67108864,75497472,32203000.0,2.344,2.084,0.00,70.15,93.79,0.0334,6711,6711
M4,arm64,fastlanes,9,branchy,0.00010,0,67108864,75497472,12257000.0,6.160,5.475,0.00,70.15,93.79,0.0878,6711,6711
M4,arm64,fastlanes,9,branchfree,0.00010,0,67108864,75497472,8062000.0,9.365,8.324,0.00,70.15,93.79,0.1335,6711,6711
M4,arm64,bitpack-scalar,12,branchy,1.00000,0,67108864,100663296,32006000.0,3.145,2.097,0.00,70.15,93.79,0.0448,67108864,67108864
M4,arm64,bitpack-scalar,12,branchfree,1.00000,0,67108864,100663296,32275000.0,3.119,2.079,0.00,70.15,93.79,0.0445,67108864,67108864
M4,arm64,fastlanes,12,branchy,1.00000,0,67108864,100663296,11535000.0,8.727,5.818,0.00,70.15,93.79,0.1244,67108864,67108864
M4,arm64,fastlanes,12,branchfree,1.00000,0,67108864,100663296,7704000.0,13.066,8.711,0.00,70.15,93.79,0.1863,67108864,67108864
M4,arm64,bitpack-scalar,12,branchy,0.50000,0,67108864,100663296,32098000.0,3.136,2.091,0.00,70.15,93.79,0.0447,33554432,33554432
M4,arm64,bitpack-scalar,12,branchfree,0.50000,0,67108864,100663296,32327000.0,3.114,2.076,0.00,70.15,93.79,0.0444,33554432,33554432
M4,arm64,fastlanes,12,branchy,0.50000,0,67108864,100663296,11592000.0,8.684,5.789,0.00,70.15,93.79,0.1238,33554432,33554432
M4,arm64,fastlanes,12,branchfree,0.50000,0,67108864,100663296,7751000.0,12.987,8.658,0.00,70.15,93.79,0.1851,33554432,33554432
M4,arm64,bitpack-scalar,12,branchy,0.10000,0,67108864,100663296,32541000.0,3.093,2.062,0.00,70.15,93.79,0.0441,6710886,6710886
M4,arm64,bitpack-scalar,12,branchfree,0.10000,0,67108864,100663296,32495000.0,3.098,2.065,0.00,70.15,93.79,0.0442,6710886,6710886
M4,arm64,fastlanes,12,branchy,0.10000,0,67108864,100663296,11726000.0,8.585,5.723,0.00,70.15,93.79,0.1224,6710886,6710886
M4,arm64,fastlanes,12,branchfree,0.10000,0,67108864,100663296,7844000.0,12.833,8.555,0.00,70.15,93.79,0.1829,6710886,6710886
M4,arm64,bitpack-scalar,12,branchy,0.01000,0,67108864,100663296,32517000.0,3.096,2.064,0.00,70.15,93.79,0.0441,671089,671089
M4,arm64,bitpack-scalar,12,branchfree,0.01000,0,67108864,100663296,32833000.0,3.066,2.044,0.00,70.15,93.79,0.0437,671089,671089
M4,arm64,fastlanes,12,branchy,0.01000,0,67108864,100663296,11647000.0,8.643,5.762,0.00,70.15,93.79,0.1232,671089,671089
M4,arm64,fastlanes,12,branchfree,0.01000,0,67108864,100663296,7794000.0,12.915,8.610,0.00,70.15,93.79,0.1841,671089,671089
M4,arm64,bitpack-scalar,12,branchy,0.00100,0,67108864,100663296,32835000.0,3.066,2.044,0.00,70.15,93.79,0.0437,67109,67109
M4,arm64,bitpack-scalar,12,branchfree,0.00100,0,67108864,100663296,32457000.0,3.101,2.068,0.00,70.15,93.79,0.0442,67109,67109
M4,arm64,fastlanes,12,branchy,0.00100,0,67108864,100663296,11671000.0,8.625,5.750,0.00,70.15,93.79,0.1230,67109,67109
M4,arm64,fastlanes,12,branchfree,0.00100,0,67108864,100663296,7767000.0,12.960,8.640,0.00,70.15,93.79,0.1848,67109,67109
M4,arm64,bitpack-scalar,12,branchy,0.00010,0,67108864,100663296,32435000.0,3.104,2.069,0.00,70.15,93.79,0.0442,6711,6711
M4,arm64,bitpack-scalar,12,branchfree,0.00010,0,67108864,100663296,32760000.0,3.073,2.049,0.00,70.15,93.79,0.0438,6711,6711
M4,arm64,fastlanes,12,branchy,0.00010,0,67108864,100663296,11651000.0,8.640,5.760,0.00,70.15,93.79,0.1232,6711,6711
M4,arm64,fastlanes,12,branchfree,0.00010,0,67108864,100663296,7819000.0,12.874,8.583,0.00,70.15,93.79,0.1835,6711,6711
M4,arm64,bitpack-scalar,16,branchy,1.00000,0,67108864,134217728,7338000.0,18.291,9.145,0.00,70.15,93.79,0.2608,67108864,67108864
M4,arm64,bitpack-scalar,16,branchfree,1.00000,0,67108864,134217728,7510000.0,17.872,8.936,0.00,70.15,93.79,0.2548,67108864,67108864
M4,arm64,fastlanes,16,branchy,1.00000,0,67108864,134217728,8573000.0,15.656,7.828,0.00,70.15,93.79,0.2232,67108864,67108864
M4,arm64,fastlanes,16,branchfree,1.00000,0,67108864,134217728,7144000.0,18.787,9.394,0.00,70.15,93.79,0.2678,67108864,67108864
M4,arm64,bitpack-scalar,16,branchy,0.50000,0,67108864,134217728,7443000.0,18.033,9.016,0.00,70.15,93.79,0.2571,33554432,33554432
M4,arm64,bitpack-scalar,16,branchfree,0.50000,0,67108864,134217728,7586000.0,17.693,8.846,0.00,70.15,93.79,0.2522,33554432,33554432
M4,arm64,fastlanes,16,branchy,0.50000,0,67108864,134217728,8649000.0,15.518,7.759,0.00,70.15,93.79,0.2212,33554432,33554432
M4,arm64,fastlanes,16,branchfree,0.50000,0,67108864,134217728,7192000.0,18.662,9.331,0.00,70.15,93.79,0.2660,33554432,33554432
M4,arm64,bitpack-scalar,16,branchy,0.10000,0,67108864,134217728,7379000.0,18.189,9.095,0.00,70.15,93.79,0.2593,6710886,6710886
M4,arm64,bitpack-scalar,16,branchfree,0.10000,0,67108864,134217728,7484000.0,17.934,8.967,0.00,70.15,93.79,0.2557,6710886,6710886
M4,arm64,fastlanes,16,branchy,0.10000,0,67108864,134217728,8788000.0,15.273,7.636,0.00,70.15,93.79,0.2177,6710886,6710886
M4,arm64,fastlanes,16,branchfree,0.10000,0,67108864,134217728,7245000.0,18.526,9.263,0.00,70.15,93.79,0.2641,6710886,6710886
M4,arm64,bitpack-scalar,16,branchy,0.01000,0,67108864,134217728,7365000.0,18.224,9.112,0.00,70.15,93.79,0.2598,671089,671089
M4,arm64,bitpack-scalar,16,branchfree,0.01000,0,67108864,134217728,7504000.0,17.886,8.943,0.00,70.15,93.79,0.2550,671089,671089
